backbone,dataset,N,alpha,seed,K,tau,method,phase0_kind,probe_size_actual,sigma,acc,mean_teacher,best_teacher,oracle,theta0_acc,m3_mean_gap,m3_clients_helped,m3_clients_evaluated,m3_gap,m3_student_acc_on_Di,m3_teacher_acc_on_Di,m4_mean,m4_clients_evaluated,m4_ood_acc,wall_clock_sec,phase_teacher_sec,phase_phase0_sec,phase_distill_sec,phase_aggregate_sec,phase_eval_sec,job_id,node,status,error
mlp_mnist,MNIST,10,0.01,42,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.230935073091968,0.4075,0.18243,0.4034,0.9735,0.2095,-0.6416750444577715,0,8,"[null, -0.999261038241271, -0.54964986798301, -0.2322994845826929, -0.3531409168081494, -1.0, -0.4579681274900398, null, -0.5422647527910686, -0.9988161677659395]","[null, 0.0003694808793644929, 0.4490873608081736, 0.7627271905235554, 0.634974533106961, 0.0, 0.5405710491367862, null, 0.451935624184428, 0.0005073566717402334]","[null, 0.9996305191206355, 0.9987372287911835, 0.9950266751062483, 0.9881154499151104, 1.0, 0.998539176626826, null, 0.9942003769754966, 0.9993235244376797]",0.37065003175700306,10,"[0.4075, 0.38273897969291726, 0.3177476118652589, 0.32497557798762616, 0.43002130058889865, 0.45419081587160054, 0.20326586154107842, 0.4075, 0.42133244725037383, 0.3572277227722772]",37.464051961898804,30.564727544784546,0.10577106475830078,6.304017543792725,0.0013213157653808594,0.21772313117980957,1113317,ai05,success,
mlp_mnist,MNIST,10,0.01,43,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.216436363495281,0.3196,0.18355,0.2904,0.9747,0.1677,-0.6782046707722629,0,10,"[-0.33909180651530113, -0.5853808985298654, -0.8237082066869301, -0.6226113150710721, -0.9219845722300141, -0.9285714285714286, -0.9850636989310294, -0.043609289133132445, -0.7340965266033563, -0.7979289654504984]","[0.6559723593287266, 0.4140022617456564, 0.16109422492401215, 0.375223571495811, 0.07801542776998598, 0.0, 0.013032654854297847, 0.9563907108668676, 0.26551320411083645, 0.2011032613955289]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.30006710921447016,10,"[0.21356043236161154, 0.29028259791769956, 0.34547792541791683, 0.29109632048223033, 0.3458980044345898, 0.39568801521876984, 0.31795716639209226, 0.24772676868485252, 0.2761868877166541, 0.27679697351828497]",38.23792243003845,28.126662254333496,0.07999157905578613,9.497467517852783,0.001371622085571289,0.2745370864868164,1112402,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,dp_avg_eps2_K20,dp_avg,10,4.208864507125922,0.3554,0.15971,0.2014,0.9776,0.2757,-0.7611927226060002,0,10,"[-0.8662477558348294, -0.9455607075390692, -0.11165611343975734, -0.9184, -0.31918687589158345, -0.8550446998722862, -0.9994954591321897, -0.7491082045184305, -0.8488600628930818, -0.9983673469387755]","[0.13375224416517056, 0.054439292460930794, 0.8879871577633105, 0.0656, 0.676444365192582, 0.14431673052362706, 0.0003363605785401951, 0.25089179548156954, 0.15074685534591195, 0.0004897959183673469]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.37065574827372794,10,"[0.33449131513647645, 0.3895452518947838, 0.2258024384175168, 0.4380952380952381, 0.2815343004671748, 0.3598463289698349, 0.45691676436107853, 0.37055837563451777, 0.41914357682619646, 0.43062389293446174]",52.95692038536072,39.80046248435974,0.09388041496276855,12.427815675735474,0.0014333724975585938,0.27628159523010254,1112403,ai06,success,
mlp_mnist,MNIST,10,0.01,42,300,4.0,dp_avg_eps8_K20,dp_avg,10,1.057733768272992,0.4161,0.18243,0.4034,0.9735,0.3149,-0.629466106419828,0,8,"[null, -0.999261038241271, -0.5533233842268397, -0.23600687223076233, -0.3904923599320883, -1.0, -0.4566401062416998, null, -0.40118892272002316, -0.9988161677659395]","[null, 0.0003694808793644929, 0.4454138445643439, 0.759019802875486, 0.597623089983022, 0.0, 0.5418990703851262, null, 0.5930114542554734, 0.0005073566717402334]","[null, 0.9996305191206355, 0.9987372287911835, 0.9950266751062483, 0.9881154499151104, 1.0, 0.998539176626826, null, 0.9942003769754966, 0.9993235244376797]",0.37835153189115195,10,"[0.4161, 0.39437840515106487, 0.3150661974191386, 0.31878866818625856, 0.4475629620348327, 0.4637761925991975, 0.2219765266201735, 0.4161, 0.40937032729689316, 0.3803960396039604]",45.30370378494263,35.31781363487244,0.0726919174194336,9.338151454925537,0.0015492439270019531,0.2624390125274658,1112586,ai06,success,
mlp_mnist,MNIST,10,0.01,43,300,4.0,dp_avg_eps8_K20,dp_avg,10,1.0541090908738202,0.4124,0.18355,0.2904,0.9747,0.2753,-0.5955807623313741,0,10,"[-0.17769002961500502, -0.45635858949316344, -0.7180851063829787, -0.6254353760707898, -0.8600981767180926, -0.9285714285714286, -0.9824278810953287, -0.03651834781067187, -0.49056849225965915, -0.6800541952966226]","[0.8173741362290227, 0.5430245707823583, 0.26671732522796354, 0.3723995104960934, 0.13990182328190742, 0.0, 0.015668472689998537, 0.9634816521893281, 0.5090412384545336, 0.3189780315494048]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.3855347173125351,10,"[0.3072387815263675, 0.3668815071888944, 0.4377768252607515, 0.41027251036041695, 0.44356984478935696, 0.5074191502853519, 0.41160816119629956, 0.3507429585273897, 0.3496608892238131, 0.2701765447667087]",45.5298957824707,34.68185305595398,0.15565848350524902,10.065572738647461,0.0014944076538085938,0.3365035057067871,1112751,ai05,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,dp_avg_eps8_K20,dp_avg,10,1.0522161267814805,0.4084,0.15971,0.2014,0.9776,0.3185,-0.7027066112136909,0,10,"[-0.7660682226211849, -0.9337111454576679, -0.26067956835815564, -0.7792, -0.27407275320970037, -0.9220945083014049, -0.9994954591321897, -0.22711058263971462, -0.9217767295597484, -0.9428571428571428]","[0.23393177737881507, 0.06628885454233213, 0.7389637028449122, 0.2048, 0.7215584878744651, 0.0772669220945083, 0.0003363605785401951, 0.7728894173602854, 0.07783018867924528, 0.056]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.4281194759873914,10,"[0.40508684863523575, 0.4482835488185466, 0.3305548643941279, 0.4669467787114846, 0.3359970494221785, 0.45304496300512237, 0.4585287221570926, 0.36209813874788493, 0.4963476070528967, 0.5243062389293446]",40.94495129585266,29.864554166793823,0.1376800537109375,10.334151268005371,0.001314401626586914,0.26339149475097656,1112915,ai05,success,
mlp_mnist,MNIST,10,0.01,42,300,4.0,labelled_probe_warmup,labelled,100,0.0,0.4646,0.18243,0.4034,0.9735,0.4358,-0.6322590495115131,0,8,"[null, -0.999261038241271, -0.554586155435656, -0.3040962112306719, -0.5432937181663837, -1.0, -0.23798140770252318, null, -0.42003769754965925, -0.9988161677659395]","[null, 0.0003694808793644929, 0.4441510733555275, 0.6909304638755764, 0.44482173174872663, 0.0, 0.7605577689243028, null, 0.5741626794258373, 0.0005073566717402334]","[null, 0.9996305191206355, 0.9987372287911835, 0.9950266751062483, 0.9881154499151104, 1.0, 0.998539176626826, null, 0.9942003769754966, 0.9993235244376797]",0.44148940455833585,10,"[0.4646, 0.45851906884596333, 0.41964136081783143, 0.4166395310973624, 0.5207367497807293, 0.5178332590280874, 0.20394624936213643, 0.4646, 0.4919421830868915, 0.45643564356435645]",48.60323905944824,38.26447582244873,0.049657344818115234,9.677191495895386,0.001264810562133789,0.27405786514282227,1112403,ai06,success,
mlp_mnist,MNIST,10,0.01,43,300,4.0,labelled_probe_warmup,labelled,100,0.0,0.6557,0.18355,0.2904,0.9747,0.5519,-0.37703031757835614,0,10,"[-0.2788746298124384, -0.1937904801069189, -0.32446808510638303, -0.4690765320530923, -0.060834502103786825, -0.7857142857142858, -0.8723092692927221, -0.14057791171778056, -0.3814231819955769, -0.26323429788057684]","[0.7161895360315893, 0.8055926801686029, 0.6603343465045592, 0.5287583545137908, 0.9391654978962132, 0.14285714285714285, 0.12578708449260506, 0.8594220882822194, 0.6181865487186159, 0.7357979289654505]","[0.9950641658440277, 0.9993831602755218, 0.9848024316109423, 0.9978348865668831, 1.0, 0.9285714285714286, 0.9980963537853272, 1.0, 0.9996097307141928, 0.9990322268460273]",0.6311786519914235,10,"[0.5402882410743531, 0.6324987605354487, 0.7386769538505501, 0.6767549918372473, 0.6231707317073171, 0.6951173113506658, 0.729818780889621, 0.630849412286538, 0.6322532027128862, 0.4123581336696091]",48.22038435935974,36.064576387405396,0.04773068428039551,11.500479221343994,0.0014221668243408203,0.26198363304138184,1112586,ai06,success,
mlp_mnist,MNIST,10,0.01,44,300,4.0,labelled_probe_warmup,labelled,100,0.0,0.4523,0.15971,0.2014,0.9776,0.2927,-0.6496028930122564,0,10,"[-0.9378815080789946, -0.17070238708569463, -0.2983144564344956, -0.9328, -0.37000713266761764, -0.8710089399744573, -0.9994954591321897, -0.13778240190249702, -0.7873427672955975, -0.9906938775510205]","[0.06211849192100539, 0.8292976129143054, 0.7013288147685722, 0.0512, 0.6256241084165478, 0.12835249042145594, 0.0003363605785401951, 0.862217598097503, 0.21226415094339623, 0.00816326530612245]","[1.0, 1.0, 0.9996432712030678, 0.984, 0.9956312410841655, 0.9993614303959132, 0.9998318197107299, 1.0, 0.9996069182389937, 0.9988571428571429]",0.46877302092117157,10,"[0.5104218362282879, 0.40960766830138207, 0.39425230156755414, 0.5866946778711485, 0.4140644209491025, 0.5627490039840638, 0.4958968347010551, 0.3996615905245347, 0.4428211586901763, 0.47156071639441055]",39.747780323028564,29.965176582336426,0.038120269775390625,9.213701725006104,0.001489400863647461,0.2593832015991211,1112751,ai05,success,
mlp_mnist,MNIST,10,0.01,42,300,4.0,no_phase0,none,0,0.0,0.4298,0.18243,0.4034,0.9735,0.0887,-0.605067583837662,0,8,"[null, -0.999261038241271, -0.5479279072437149, -0.16927389456551223, -0.22410865874363328, -1.0, -0.4919654714475431, null, -0.4090184138031028, -0.9989852866565195]","[null, 0.0003694808793644929, 0.4508093215474687, 0.8257527805407361, 0.7640067911714771, 0.0, 0.5065737051792829, null, 0.5851819631723938, 0.00033823778116015557]","[null, 0.9996305191206355, 0.9987372287911835, 0.9950266751062483, 0.9881154499151104, 1.0, 0.998539176626826, null, 0.9942003769754966, 0.9993235244376797]",0.3908883106189355,10,"[0.4298, 0.4096087171867261, 0.2973018267135914, 0.31064799739498533, 0.4360355845132189, 0.4790459206419973, 0.2609287293757442, 0.4298, 0.4299717561056654, 0.42574257425742573]",38.14180850982666,30.00203776359558,0.011438608169555664,7.437417030334473,0.0014925003051757812,0.30813002586364746,1112751,ai05,success,
